NO;OSM Feature Class;OSM MCE FieldName;OSM  Attribute Value;OSM Attribute definition;Mapping Description;DGIF Feature Alpha;DGIF Feature 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;DGIF Attribute Alpha;DGIF Attribute 531;DGIF AttributeValue Alpha;DGIF Value 531;
1;aerialway_Point;aerialway;pylon;Aerial lift pylon is a pylon supporting the aerialway cable.;OK;Pylon;AT042;;;;;;;;;
2;aerialway_Point;aerialway;station; A station, where passengers can enter and/or leave the aerialway ;OK;TransportationStation;AQ125;meansTransportation;TME;cableCar;14;;;;;
3;aerialway_Point;aerialway;user-defined or "yes";;not in DGIF;;;;;;;;;;;
4;aerialway_Line;aerialway;cable_car;Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended;Generalization;Cableway;AT041;cablewayType;CAT;aerialTramway;5;;;;;
5;aerialway_Line;aerialway;gondola;Gondola lift. Many cars on a looped cable;OK;Cableway;AT041;cablewayType;CAT;gondolaLift;6;;;;;
6;aerialway_Line;aerialway;lift;;OK;Cableway;AT041;cablewayType;CAT;teeBarLift;7;;;;;
7;aerialway_Line;aerialway;goods;;Generalization;Cableway;AT041;;;;;;;;;
8;aerialway_Line;aerialway;j-bar;J-bar lift. A type of aerialway=drag_lift. Like t-bar but just on one side;Generalization;Cableway;AT041;cablewayType;CAT;teeBarLift;7;;;;;
9;aerialway_Line;aerialway;drag_lift;Drag lift or Surface lift is an overhead tow-line for skiers and riders. A T-bar lift, button lift, or more simple looped rope drag lifts, or loops of wire with handles to grab;Generalization;Cableway;AT041;cablewayType;CAT;teeBarLift;7;;;;;
10;aerialway_Line;aerialway;magic_carpet;Magic carpet. A type of ski lift.;Generalization;Cableway;AT041;cablewayType;CAT;skiTow;3;;;;;
11;aerialway_Line;aerialway;chair_lift;Chairlift. Looped cable with a series of single chairs (typically seating two or four people, but can be more). Exposed to the open air (can have a bubble).;OK;Cableway;AT041;cablewayType;CAT;chairLift;2;;;;;
12;aerialway_Line;aerialway;mixed_lift;Mixed lift Also known as a hybrid lift is a new type of ski lift that combines the elements of a chairlift and a gondola lift;Generalization;Cableway;AT041;cablewayType;CAT;gondolaLift;6;;;;;
13;aerialway_Line;aerialway;platter;Platter lift. A type of aerialway=drag_lift. Similar to a t-bar, but with a disc instead of a bar. Single-person only;Generalization;Cableway;AT041;cablewayType;CAT;teeBarLift;7;;;;;
14;aerialway_Line;aerialway;rope_tow;Rope tow. A type of aerialway=drag_lift;Generalization;Cableway;AT041;cablewayType;CAT;teeBarLift;7;;;;;
